node,easting,northing
4992,369109.4,2459982
4472,369107.6,2460083.6
3816,369260.3,2460080.5
5926,369132.3,2459707.3
21864,368812.7,2459607.7
21142,368581.7,2459681.5
5212,369034,2459932.8
223,369259.9,2460231.2
22751,368713.3,2459508.1
3094,369182.4,2460306.5
3774,369161.7,2460131.7
5862,368884.4,2459733.1
19786,368682.5,2459830.8
19731,368858.6,2459829.4
21815,368662.4,2459607.8
5687,369185.1,2459780.4
3205,369036.9,2460281.4
3018,368958.9,2460331.6
13049,368758.4,2460130.5
4505,368935.4,2460082.4
6154,369233.5,2459654.1
3172,368887.2,2460278.9
13484,368735.4,2460233.5
6550,369108.7,2459554.7
2552,368883.6,2459385
5716,369036.1,2459781.5
4452,369209.8,2460081.7
12839,368782.2,2460080.7
6737,369035.2,2459506.3
6192,369110.8,2459634.4
3787,369211.9,2460133.2
12469,368758.5,2459981.1
12463,368808.8,2459978
23451,368661,2459407.9
5850,368935.6,2459731.6
21368,368559.6,2459655.1
12730,368586.7,2460058.8
20707,368708.1,2459734.5
21383,368613.9,2459655.2
3221,369111.3,2460282.6
22869,368557,2459481
20221,368583.8,2459781.3
12350,368560.2,2459928.9
5194,369107.8,2459933.2
12857,368735.1,2460078.5
21785,368563.8,2459606
20712,368682.9,2459732.9
21080,368783.1,2459681.6
13042,368783.2,2460129.8
22231,368662.4,2459555.8
13078,368634.2,2460130.4
3364,368961,2460231.3
13016,368859.9,2460110
13644,368809.1,2460257.3
5817,369110.9,2459733.8
3379,369034.5,2460232.5
19404,368732,2459881.5
12412,368710.8,2459957.9
20170,368759.2,2459780.2
3550,368984.3,2460183
5587,369162.3,2459831.4
21984,368605.4,2459581.4
12848,368758.3,2460079.8
21100,368730.2,2459681.9
21523,368681,2459632.5
21049,368862.9,2459706
5090,368983.7,2459955.8
23546,368658,2459378.6
5355,369233.2,2459882.9
20460,368661.5,2459756.9
13142,368560.8,2460159.4
3329,368909.8,2460258.5
4398,369060.2,2460106.6
5665,369108.6,2459805.4
3235,369160.1,2460281.1
19393,368780.9,2459881.4
3275,369160.6,2460256.5
5990,369135.8,2459681.9
21562,368556.8,2459631.6
6638,369061,2459533.7
3189,368982.1,2460282.5
21491,368806.8,2459633.7
5768,369084,2459756.2
5607,369085.7,2459831.6
6297,368957.5,2459606.7
13071,368659.8,2460130.9
6359,369207.5,2459606.9
3599,369159.4,2460182.4
2593,369082.8,2459381.2
5944,369184.5,2459705.3
13254,368709.8,2460181
22204,368587.8,2459557
4634,369186,2460033.5
3794,369257.6,2460131
6102,369032.7,2459655.6
4544,368960,2460057.5
13961,368660.1,2460356.1
3955,369258.7,2459432.4
13670,368784.6,2460281.9
4018,368985.4,2459432
2616,369185.7,2459382.3
3469,369108.8,2460207.4
21961,368706.9,2459580.3
22350,368684.2,2459530.7
6209,369060,2459633.9
13212,368858.9,2460157.3
5137,369183.3,2459956
3541,368932.4,2460181
6120,369107.8,2459655.8
2601,369135.6,2459381.1
3423,369212.4,2460231.7
23236,368630.5,2459432.6
6465,368936,2459582.8
2954,369060.6,2460356.4
12748,368611.1,2460057.3
3030,369011.1,2460331.1
12503,368584.1,2459980.3
3359,368937.7,2460230.9
6271,368884.5,2459607.3
5679,369235.1,2459806.8
6709,368910.5,2459505.8
23141,368857.6,2459456.9
3517,368909.2,2460208.1
19664,368714.1,2459856.9
5479,368936.2,2459857
22264,368762.8,2459556.4
3888,369259.6,2459733.8
5656,369009.5,2459806.8
3252,369234.2,2460283.2
20994,368661.2,2459707.5
3477,369082.7,2460207.6
12398,368633.9,2459956.9
6503,368961.1,2459557.1
5807,369185.6,2459731
4033,368932.3,2459432.1
13057,368733.5,2460128.6
6560,369159,2459559.2
12585,368711.4,2460009.4
13634,368760.1,2460259.4
23460,368686.6,2459408.3
5602,369110.4,2459831.3
2692,368983.8,2459360.8
5856,368911.5,2459733.5
20130,368862.5,2459807.1
22221,368636.7,2459555.6
6053,368887.1,2459681.8
4643,369160.5,2460031.8
3926,369259.8,2459558.6
20491,368763.2,2459756.2
22756,368737.6,2459508
6174,369185.1,2459631
5669,369133.8,2459806
20509,368813.1,2459756.9
12808,368834.7,2460058.8
12891,368583.3,2460081.7
6531,369058.3,2459555.9
5691,369161.4,2459781.8
3447,369233.6,2460205.1
12876,368658.5,2460081.5
20739,368608.5,2459733.3
6668,368960.6,2459532.6
6278,368908.6,2459605.1
20481,368738.9,2459756.6
6963,369059.8,2459456.4
23487,368811.2,2459407.4
13612,368659.6,2460259.4
6728,369011.1,2459505.7
5028,368987.1,2459982.8
3893,369260.1,2459683.7
13681,368733.4,2460283.2
21433,368759.6,2459654.5
5401,369061.3,2459883
6078,368936.8,2459654.9
21450,368813.4,2459656.4
3409,369160.1,2460231.5
4891,368960.6,2460007.5
19311,368638.5,2459907.1
6795,369232.1,2459506.1
5777,369158.5,2459755.8
21423,368738.7,2459654.8
19399,368757.6,2459881
13065,368682.5,2460130.9
6218,369036.8,2459634
6424,369088,2459580.1
5652,368986.2,2459807.4
5774,369134.7,2459754.7
5430,368962.4,2459881.4
23127,368810.5,2459457.1
22824,368732.5,2459480.7
6245,368937,2459634
19777,368706.5,2459830.8
20757,368556,2459730.8
4626,369209.9,2460033.7
22314,368809.2,2459532.6
20114,368812.9,2459807.8
3395,369089.7,2460231.6
3504,368960.1,2460206.1
2684,369009.5,2459360.1
6259,368884.7,2459633.1
3740,369008.1,2460131.2
3696,368959.8,2460159.6
6746,369060.2,2459507.6
20971,368587.4,2459707.9
5622,368961.9,2459832.2
6700,368884.1,2459507.5
23571,368557,2459382.8
23477,368761.6,2459407.5
12476,368733.8,2459979.2
12676,368634,2460031.6
4492,368984.7,2460086.3
20196,368657.9,2459784.4
12497,368608.6,2459980.8
12337,368633.9,2459931.1
4302,368859.2,2460282.9
4676,369033.8,2460030.2
12653,368732,2460030.1
2477,369107.8,2459406.8
13995,368810.3,2460357.6
4885,368936.7,2460006.7
5829,369035.1,2459732.2
5612,369035.7,2459833.4
19329,368714,2459907.5
12683,368608.6,2460030.6
5391,369085.5,2459883.2
6870,368984.9,2459481.5
6542,369082.9,2459554.6
12624,368861.8,2460032.2
5920,369108.4,2459706.5
5099,369010.3,2459956.5
5912,369086.5,2459705.4
20086,368686.9,2459806.8
5935,369158,2459706.7
22739,368659.2,2459506.8
13085,368610.7,2460128.9
13157,368610.2,2460156.9
12300,368784.1,2459931.6
3484,369059.5,2460207.9
21090,368756.6,2459681.9
5703,369061,2459782.6
22728,368611.8,2459504.1
19345,368763.5,2459907.3
5755,369008,2459756.2
5763,369057.6,2459757.2
21061,368858.3,2459680.5
19354,368812.8,2459907.6
22298,368857.8,2459529.6
22213,368613.4,2459556.6
6523,369033.6,2459556.2
3147,368958,2460308.1
19797,368631.1,2459830.9
12770,368710.7,2460055.6
12637,368809.5,2460030.9
3575,369062,2460181.9
5952,369208.8,2459705.3
5570,369234.5,2459829.6
5750,368960.3,2459754.5
6393,369160.6,2459584.4
2425,369259.2,2459382.9
5530,369108.1,2459857.7
2974,368983.1,2460356.7
6570,369209,2459555.1
3972,369210.2,2459432.6
12970,368660.8,2460107.5
19768,368731.5,2459831.2
5628,368910.2,2459833.2
3667,369110.9,2460155.8
3753,369060.4,2460131.2
12993,368761.4,2460108.8
4908,369058.7,2460005.8
5373,369185.4,2459882.1
13220,368836,2460182.2
22811,368781,2459482.1
4478,369084.8,2460083.7
13502,368683.3,2460233
19647,368663.1,2459856.2
5878,368936.4,2459703
3163,368908.8,2460307.6
