label,easting,northing
23571,368557.0,2459382.8
23562,368584.3,2459382.8
23554,368631.7,2459379.8
23546,368658.0,2459378.5
23536,368708.5,2459378.8
23528,368732.4,2459380.0
23520,368755.0,2459381.0
23513,368782.4,2459381.0
23487,368811.2,2459407.5
23494,368836.4,2459407.5
23173,368857.3,2459431.0
23181,368831.3,2459430.5
23190,368807.1,2459430.8
23197,368782.4,2459431.8
23477,368761.6,2459407.5
23469,368712.1,2459408.5
23460,368686.6,2459408.2
23451,368661.0,2459408.0
23441,368610.6,2459407.5
23435,368586.3,2459407.0
23427,368561.8,2459407.0
23251,368581.6,2459431.2
23244,368606.3,2459432.2
23236,368630.5,2459432.5
23224,368682.1,2459433.2
23217,368706.7,2459434.0
23209,368734.0,2459433.2
23117,368787.7,2459456.2
23127,368810.5,2459457.0
22801,368834.1,2459481.2
23141,368857.6,2459457.0
6916,368886.5,2459455.2
6928,368935.3,2459455.0
6937,368985.4,2459455.0
6945,369009.9,2459454.0
6955,369034.3,2459453.5
6963,369059.8,2459456.5
6972,369085.6,2459456.0
6981,369109.0,2459455.0
2477,369107.8,2459406.8
2484,369082.5,2459407.0
2503,369057.7,2459408.5
2511,369034.1,2459407.2
2521,368982.8,2459409.0
2528,368957.6,2459407.2
2535,368938.1,2459405.8
2559,368908.6,2459385.5
2552,368883.6,2459385.0
4056,368859.1,2459383.0
23504,368834.5,2459378.5
4050,368859.6,2459403.8
2544,368887.0,2459409.0
4040,368909.5,2459431.5
4033,368932.3,2459432.0
4025,368957.7,2459432.8
4018,368985.4,2459432.0
4009,369034.9,2459432.5
4001,369080.5,2459431.5
3994,369110.8,2459433.0
3986,369135.1,2459434.2
3981,369159.7,2459434.0
2468,369160.2,2459410.0
2453,369181.7,2459406.8
6994,369185.0,2459458.2
6815,369186.2,2459482.0
6824,369162.7,2459483.2
6831,369133.9,2459485.0
6840,369110.1,2459484.5
6853,369059.9,2459482.5
6862,369008.6,2459481.5
6870,368984.9,2459481.5
6880,368959.9,2459482.0
6886,368934.5,2459482.5
6894,368911.5,2459483.0
6903,368886.2,2459483.5
22793,368858.9,2459507.5
22785,368837.7,2459508.0
22776,368812.7,2459508.0
22765,368762.5,2459508.0
22756,368737.6,2459508.0
22751,368713.3,2459508.0
22739,368659.2,2459506.8
22728,368611.8,2459504.0
22718,368587.1,2459505.2
22858,368606.8,2459482.2
22849,368631.0,2459482.5
22842,368656.0,2459482.0
22834,368681.5,2459481.5
22824,368732.5,2459480.8
22818,368756.5,2459481.2
22811,368781.0,2459482.0
23110,368764.0,2459456.8
23097,368713.5,2459457.2
23089,368686.5,2459458.5
23082,368662.8,2459458.2
23074,368637.3,2459457.5
23066,368588.1,2459457.5
23059,368562.5,2459457.0
22869,368557.0,2459481.0
22713,368562.5,2459507.0
22379,368558.0,2459534.2
21999,368557.6,2459582.0
