label,easting,northing
1,524938.5,2373145.4
2,524964.7,2373147.6
3,524964.9,2373169.6
4,524939.6,2373175.5
5,524945,2373192
6,524962.5,2373188.7
7,524943,2373591.3
8,524941.4,2373570.4
9,524963.4,2374463.9
10,524965.8,2374444
11,524963.2,2374420.8
12,524967.9,2374393.1
13,524969,2374365.6
14,524966,2374344.3
15,524963.7,2374325.4
16,524966.4,2374293.3
17,524967.4,2374268.4
18,524966.2,2374242.6
19,524965,2374221.2
20,524963.8,2374196.7
21,524941.6,2374191.5
22,525168.3,2373518.8
23,525164.2,2373496.2
24,525140.8,2373493.9
25,525120.3,2373467.3
26,525098.1,2373441.5
27,525170.9,2373427.4
28,525190.2,2373417.6
29,525165.5,2373445.4
30,525141.4,2373442.9
31,524971.5,2374137.7
32,525116.9,2373445.8
33,524964.3,2374120.8
34,525142.4,2373466.5
35,524946.3,2374114.3
36,525167.4,2373463.8
37,524938.8,2374096.5
38,524965.8,2374097.5
39,525190.4,2373444.1
40,524990.9,2374119.3
41,525014.5,2374119.1
42,525009.7,2374141.5
43,525192.8,2373468.3
44,524992,2374143.2
45,525217.2,2373464.5
46,525216.1,2373437.8
47,525066.6,2374146.5
48,525217.2,2373417.7
49,525068.9,2374117.9
50,525018.3,2374045.2
51,524991.6,2374020.2
52,524967.4,2374016.5
53,525072.2,2373420.3
54,524941.8,2373991.5
55,524913.8,2373993.5
56,524917.6,2373893.9
57,524917.2,2373921
58,524911.7,2373946.1
59,524916.8,2373966.8
60,524940.7,2373970.4
61,524944.6,2373939.4
62,524944.5,2373918.3
63,524943.3,2373896.2
64,524965.5,2373893.1
65,524987.6,2373896.9
66,524989.4,2373911.2
67,524961.3,2373919.9
68,524945.2,2373868.6
69,524940.5,2373842.8
70,524965.3,2373843.9
71,524968.4,2373865.3
72,524990.2,2373867.4
73,524991.3,2373846.8
74,524989.3,2373819.1
75,524991.7,2373794.9
76,524994.3,2373772.8
77,525016.1,2373767.1
78,525041.2,2373766.5
79,525068,2373765.2
80,525087.1,2373772.9
81,525085.5,2373791
82,525065.9,2373792.1
83,525040.5,2373793.5
